Name,Date,Price_day,Price_month
1210 大成,2021/6/10,57.4660 ,57.6200 
1210 大成,2021/6/9,57.6412 ,57.7400 
1210 大成,2021/6/8,57.8698 ,57.7567 
1210 大成,2021/6/7,57.4747 ,57.7667 
1210 大成,2021/6/4,57.9327 ,57.7667 
1210 大成,2021/6/3,58.4303 ,57.7667 
1210 大成,2021/6/2,57.9835 ,57.7433 
1210 大成,2021/6/1,57.9347 ,57.7300 
1210 大成,2021/5/31,57.3297 ,57.7400 
1210 大成,2021/5/28,56.5231 ,57.7167 
1210 大成,2021/5/27,56.4943 ,57.7133 
1210 大成,2021/5/26,56.3618 ,57.7100 
1210 大成,2021/5/25,56.5681 ,57.6933 
1210 大成,2021/5/24,55.9208 ,57.6500 
1210 大成,2021/5/21,56.8853 ,57.5733 
1210 大成,2021/5/20,56.5111 ,57.4900 
1210 大成,2021/5/19,56.2129 ,57.4100 
1210 大成,2021/5/18,56.2162 ,57.3433 
1210 大成,2021/5/17,55.4901 ,57.2600 
1210 大成,2021/5/14,56.3261 ,57.2633 
1210 大成,2021/5/13,56.1053 ,57.2067 
1210 大成,2021/5/12,55.7420 ,57.1333 
1210 大成,2021/5/11,59.5051 ,57.0900 
1210 大成,2021/5/10,60.0385 ,56.9100 
1210 大成,2021/5/7,58.9825 ,56.6567 
1210 大成,2021/5/6,58.7096 ,56.4333 
1210 大成,2021/5/5,58.8246 ,56.2300 
1210 大成,2021/5/4,59.1224 ,56.0067 
1210 大成,2021/5/3,60.2185 ,55.7933 
1210 大成,2021/4/29,60.5015 ,55.5400 
1210 大成,2021/4/28,60.2973 ,55.2900 
1210 大成,2021/4/27,58.0868 ,54.9867 
1210 大成,2021/4/26,57.8064 ,54.8067 
1210 大成,2021/4/23,57.5066 ,54.6167 
1210 大成,2021/4/22,58.8591 ,54.4733 
1210 大成,2021/4/21,57.5657 ,54.3167 
1210 大成,2021/4/20,57.8170 ,54.1600 
1210 大成,2021/4/19,57.8549 ,53.9267 
1210 大成,2021/4/16,56.8173 ,53.6700 
1210 大成,2021/4/15,56.4114 ,53.4467 
1210 大成,2021/4/14,56.0215 ,53.2250 
1210 大成,2021/4/13,56.2605 ,53.0150 
1210 大成,2021/4/12,55.0358 ,52.8217 
1210 大成,2021/4/9,54.1090 ,52.6517 
1210 大成,2021/4/8,54.2008 ,52.5183 
1210 大成,2021/4/7,54.1907 ,52.3717 
1210 大成,2021/4/6,54.4332 ,52.2317 
1210 大成,2021/4/1,54.7411 ,52.0733 
1210 大成,2021/3/31,54.8628 ,51.8883 
1210 大成,2021/3/30,54.3022 ,51.6817 
1210 大成,2021/3/29,54.3188 ,51.4683 
1210 大成,2021/3/26,54.0235 ,51.2717 
1210 大成,2021/3/25,53.7110 ,51.0633 
1210 大成,2021/3/24,52.8755 ,50.8667 
1210 大成,2021/3/23,52.6345 ,50.7117 
1210 大成,2021/3/22,52.3097 ,50.5850 
1210 大成,2021/3/19,51.9095 ,50.4550 
1210 大成,2021/3/18,52.6055 ,50.3533 
1210 大成,2021/3/17,52.4049 ,50.2367 
1210 大成,2021/3/16,52.2332 ,50.1267 
1210 大成,2021/3/15,52.3962 ,49.9800 
1210 大成,2021/3/12,52.4909 ,49.8283 
1210 大成,2021/3/11,52.3979 ,49.7033 
1210 大成,2021/3/10,53.4728 ,49.5767 
1210 大成,2021/3/9,52.8729 ,49.4333 
1210 大成,2021/3/8,52.5748 ,49.3217 
1210 大成,2021/3/5,50.9860 ,49.2250 
1210 大成,2021/3/4,51.0631 ,49.1917 
1210 大成,2021/3/3,50.1993 ,49.2017 
1210 大成,2021/3/2,50.0637 ,49.1950 
1210 大成,2021/2/26,49.9265 ,49.2000 
1210 大成,2021/2/25,50.2255 ,49.1883 
1210 大成,2021/2/24,50.1748 ,49.1850 
1210 大成,2021/2/23,50.1975 ,49.2150 
1210 大成,2021/2/22,50.1427 ,49.2350 
1210 大成,2021/2/19,50.0823 ,49.2333 
1210 大成,2021/2/18,49.2962 ,49.2333 
1210 大成,2021/2/17,48.9320 ,49.2783 
1210 大成,2021/2/5,48.2339 ,49.2500 
1210 大成,2021/2/4,48.2567 ,49.1967 
1210 大成,2021/2/3,48.0952 ,49.1433 
1210 大成,2021/2/2,47.9442 ,49.0750 
1210 大成,2021/2/1,47.9425 ,49.0333 
1210 大成,2021/1/29,48.5081 ,48.9850 
1210 大成,2021/1/28,48.4286 ,48.8967 
1210 大成,2021/1/27,48.7014 ,48.8067 
1210 大成,2021/1/26,48.9507 ,48.7067 
1210 大成,2021/1/25,48.9543 ,48.6217 
1210 大成,2021/1/22,48.9630 ,48.5517 
1210 大成,2021/1/21,47.9760 ,48.4950 
1210 大成,2021/1/20,48.0479 ,48.4383 
1210 大成,2021/1/19,48.9544 ,48.3850 
1210 大成,2021/1/18,48.5308 ,48.2900 
1210 大成,2021/1/15,49.3778 ,48.2200 
1210 大成,2021/1/14,49.9590 ,48.1317 
1210 大成,2021/1/13,50.1328 ,48.0150 
